timestamp,x,y,z
470275030601,-0.227051,-0.535156,0.241211
470275038957,-0.180176,-0.878906,0.165527
470275059843,-0.26416,-1.13818,0.0766602
470275082353,-0.553223,-1.13525,0.124023
470275098741,-0.682129,-0.862793,0.281738
470275122686,-0.51123,-0.733887,0.502441
470275142417,-0.131348,-0.82666,0.624512
470275166357,0.120605,-0.655762,0.494141
470275187367,0.0493164,-0.770996,0.395996
470275210611,-0.546387,-1.04492,0.539551
470275218800,-0.812988,-1.28271,0.402344
470275247398,-0.699219,-1.38525,0.193359
470275262409,-0.717773,-1.25635,-0.0830078
470275280282,-0.71582,-1.33984,-0.274902
470275299740,-0.567871,-1.42041,-0.273438
470275322387,-0.483398,-1.43262,-0.158203
470275340404,-0.381348,-1.48633,-0.043457
470275359901,-0.373047,-1.43994,0.078125
470275382394,-0.431152,-1.36914,0.117188
470275400338,-0.571777,-1.14551,0.167969
470275419963,-0.577148,-1.08398,0.187988
470275442399,-0.492676,-1.00049,0.205566
470275460345,-0.64502,-0.779297,0.192383
470275479919,-0.803223,-0.635254,0.17334
470275502282,-0.646484,-0.572754,0.105957
470275520250,-0.570801,-0.51123,0.100586
470275548076,-0.696289,-0.484863,0.0708008
470275571254,-0.752441,-0.218262,0.251465
470275585548,-0.634766,-0.219727,0.0644531
470275599918,-0.753418,-0.203613,0.059082
470275622462,-0.533203,0.142578,-0.0327148
470275637419,-0.482422,0.116211,-0.164551
470275659928,-0.641602,-0.0625,-0.0947266
470275682339,-0.583984,-0.0913086,-0.106934
470275705582,-0.538574,-0.167969,-0.0908203
470275719897,-0.608398,-0.21582,-0.0927734
470275742369,-0.686523,-0.272949,-0.0629883
470275757382,-0.674805,-0.365723,-0.0126953
470275784779,-0.61084,-0.432617,0.0239258
470275803051,-0.358398,-0.334473,-0.188477
470275825353,-1.16016,-0.87793,0.000488281
470275840355,-0.467285,-0.506348,-0.27002
470275862876,-1.42676,-0.961426,-0.86084
470275877250,-1.21143,-1.15039,-0.0551758
470275900537,-0.539551,-1.06299,0.678711
470275916260,-0.168945,-0.916016,0.606934
470275937236,-0.324707,-0.820312,-0.158203
470275960375,-0.496582,-0.973145,-0.947754
470275976240,0.478027,-1.66406,-0.927246
470275997242,0.475586,-1.44043,-0.106445
470276021834,0.591309,-1.23682,0.678711
470276044302,0.687012,-1.17041,0.495117
470276057261,-0.00292969,-1.53613,-0.44873
470276080359,-0.908203,-1.79639,-1.02344
470276102851,-1.18701,-1.96973,-0.788086
470276117244,-0.751465,-1.71777,-0.0610352
470276141139,-0.0449219,-1.27393,0.539062
470276164296,0.250977,-0.93457,0.532227
470276177237,0.109375,-0.754395,-0.0180664
470276199699,-0.476074,-0.755371,-0.76416
470276216257,-1.01709,-0.821289,-0.916992
470276237227,-1.17041,-0.863281,-0.449219
470276260397,-0.840332,-0.665527,0.290527
470276276164,-0.0786133,-0.35498,0.608398
470276298676,-1.09814,-0.383789,-0.230957
470276319655,-0.67334,-0.217285,-0.0449219
470276336119,-0.571289,-0.158691,-0.0429688
470276358643,-0.573242,-0.174316,-0.0249023
470276381229,-0.532715,-0.109375,-0.019043
470276396121,-0.516113,-0.0400391,-0.0429688
470276418670,-0.656738,0.0234375,-0.0405273
470276439737,-0.650879,-0.0600586,0.184082
470276462861,-0.300293,0.160156,-0.043457
470276486838,-1.2085,-0.42334,0.265625
470276507885,-0.382812,-0.144531,0.0527344
470276516378,-1.3335,-0.434082,-0.462402
470276538824,-1.69238,-0.721191,-0.518066
470276559768,-1.48828,-0.908691,-0.326172
470276577837,-1.07715,-0.961914,-0.0527344
470276598791,-0.565918,-0.910156,0.15918
470276619887,-0.104004,-0.855469,0.296387
470276636402,0.0874023,-0.770996,0.324219
470276658792,0.175781,-0.727539,0.185547
470276679844,0.208496,-0.711426,-0.0673828
470276696217,0.375,-0.745605,-0.463867
470276719236,0.385742,-1.06396,-0.751465
470276741333,0.561035,-1.12207,-0.168457
470276763713,0.361816,-1.05273,-0.222656
470276786258,0.158203,-1.13721,-0.310547
470276799722,-0.0673828,-1.28809,-0.349609
470276816314,-0.17627,-1.36768,-0.30957
470276838643,-0.189453,-1.42041,-0.174316
470276859829,-0.158203,-1.41504,-0.0600586
470276878301,0.0375977,-1.31152,0.0595703
470276898774,-0.0556641,-1.25293,0.135742
470276919855,-0.15625,-1.28711,0.419922
470276936404,-0.137695,-1.2417,0.567871
470276958722,-0.157227,-1.03271,0.5
470276979820,-0.316895,-0.786621,0.333496
470276996269,-0.427246,-0.584473,0.186523
470277018777,-0.392578,-0.685547,0.301758
470277042735,-0.347656,-0.973633,0.475098
470277062175,-0.21875,-0.877441,0.36377
470277086223,-0.268066,-0.773438,0.453125
470277099822,-0.270508,-0.681152,0.504395
470277116291,-0.0244141,-0.515137,0.61084
470277138647,0.356445,-0.32373,0.738281
470277159791,0.46582,-0.112305,0.826172
470277176258,0.0800781,-0.0317383,0.73584
470277198780,-0.263672,-0.211914,0.608398
470277219843,-0.285645,-0.504883,0.553711
470277235468,-0.137207,-0.949707,0.328125
470277257997,-0.129883,-1.26514,0.22168
470277280456,-0.362793,-1.31104,0.265625
470277295467,-0.569336,-1.10791,0.26416
470277317975,-0.553223,-0.921387,0.314453
470277340386,-0.269531,-0.962891,0.453125
470277355397,-0.0795898,-0.918945,0.479492
470277378358,-0.0888672,-0.777832,0.443848
470277400504,-0.242188,-0.852051,0.158203
470277416924,-0.367188,-0.975586,0.0493164
470277437972,-0.400879,-1.13232,0.0273438
470277460158,-0.276855,-1.18359,-0.0336914
470277476881,-0.166992,-1.13477,-0.139648
470277498074,-0.216797,-1.04443,-0.231445
470277528027,-0.14209,-1.08203,-0.246094
470277537036,-0.109375,-1.14844,-0.218262
470277557909,-0.232422,-1.22168,-0.172852
470277580464,-0.296875,-1.23975,-0.0473633
470277596947,-0.297363,-1.24707,0.0454102
470277617965,-0.207031,-1.22314,0.13916
470277640339,-0.104492,-1.13428,0.245605
470277657586,-0.118164,-1.01758,0.358398
470277677955,-0.272949,-0.94043,0.490234
470277700530,-0.374512,-0.85791,0.526855
470277716996,-0.46875,-0.750488,0.491699
470277737943,-0.642578,-0.710449,0.349121
470277760188,-0.73584,-0.862793,0.23584
470277776807,-0.53125,-1.00244,0.141602
470277797878,-0.203125,-0.995117,0.208496
470277820494,0.0263672,-0.776855,0.325684
470277836858,0.239258,-0.504883,0.521484
470277857939,0.209473,-0.34375,0.64502
470277880468,-0.210938,-0.319336,0.632812
470277896796,-0.454102,-0.437012,0.557617
470277918006,-0.30127,-0.540527,0.58252
470277940327,-0.0732422,-0.787109,0.444336
470277962974,-0.046875,-0.991211,0.240723
470277977879,-0.216309,-1.14795,0.125488
470278000429,-0.406738,-1.26562,0.0375977
